server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s195,5664wan_s3,10.6.7.234,data/xy/shengbei_s195_9195,shengbei_lianyun_s195,10.6.3.39,5664wan,3306,29514,42.62.56.214,running,7
s197,renren_s18,10.6.5.72,data/xy/shengbei_s197_9197,shengbei_lianyun_s197,10.6.3.95,renren,3306,29714,42.62.26.73,running,8
s198,zhigame_s1,10.6.5.81,data/xy/shengbei_s198_9198,shengbei_lianyun_s198,10.6.2.83,zhigame,3306,29814,42.62.62.92,running,3
s199,1717in_s1,10.6.8.97,data/xy/shengbei_s199_9199,shengbei_lianyun_s199,10.6.1.238,1717in,3306,29914,42.62.56.145,running,3
s200,5664wan_s4,10.6.7.234,data/xy/shengbei_s200_9200,shengbei_lianyun_s200,10.6.3.39,5664wan,3306,30014,42.62.56.214,running,8
s204,360_s38,10.6.7.170,data/xy/shengbei_s204_9204,shengbei_lianyun_s204,10.6.8.122,360,3306,30414,42.62.62.80,running,6
s205,91wan_s9,10.6.5.114,data/xy/shengbei_s205_9205,shengbei_lianyun_s205,10.6.5.191,91wan,3306,30514,42.62.14.88,running,6
s206,8090_s11,10.6.8.243,data/xy/shengbei_s206_9206,shengbei_lianyun_s206,10.6.3.175,8090,3306,30614,42.62.62.89,running,5
s207,5664wan_s5,10.6.7.234,data/xy/shengbei_s207_9207,shengbei_lianyun_s207,10.6.3.39,5664wan,3306,30714,42.62.56.214,running,9
s208,360_s39,10.6.7.170,data/xy/shengbei_s208_9208,shengbei_lianyun_s208,10.6.8.122,360,3306,30814,42.62.62.80,running,7
s209,1377_s24,10.6.7.234,data/xy/shengbei_s209_9209,shengbei_lianyun_s209,10.6.8.220,1377,3306,30914,42.62.56.214,running,1
s210,360_s40,10.6.7.170,data/xy/shengbei_s210_9210,shengbei_lianyun_s210,10.6.8.122,360,3306,31014,42.62.62.80,running,8
s211,5664wan_s6,10.6.7.173,data/xy/shengbei_s211_9211,shengbei_lianyun_s211,10.6.3.39,5664wan,3306,31114,42.62.62.86,running,4
s212,5664wan_s7,10.6.7.173,data/xy/shengbei_s212_9212,shengbei_lianyun_s212,10.6.3.39,5664wan,3306,31214,42.62.62.86,running,5
s213,5664wan_s8,10.6.7.173,data/xy/shengbei_s213_9213,shengbei_lianyun_s213,10.6.3.39,5664wan,3306,31314,42.62.62.86,running,6
s214,5664wan_s9,10.6.7.173,data/xy/shengbei_s214_9214,shengbei_lianyun_s214,10.6.3.39,5664wan,3306,31414,42.62.62.86,running,7
s215,5664wan_s10,10.6.7.173,data/xy/shengbei_s215_9215,shengbei_lianyun_s215,10.6.3.39,5664wan,3306,31514,42.62.62.86,running,8
s216,zhigame_s2,10.6.5.81,data/xy/shengbei_s216_9216,shengbei_lianyun_s216,10.6.2.83,zhigame,3306,31614,42.62.62.92,running,4
s217,zongheng_s3,10.6.7.58,data/xy/shengbei_s217_9217,shengbei_lianyun_s217,10.6.3.39,zongheng,3306,31714,42.62.14.89,running,3
s218,0356wan_s1,10.6.1.121,data/xy/shengbei_s218_9218,shengbei_lianyun_s218,10.6.3.39,0356wan,3306,31814,42.62.56.250,running,3
s219,5577yx_s1,10.6.5.172,data/xy/shengbei_s219_9219,shengbei_lianyun_s219,10.6.5.59,5577yx,3306,31914,42.62.56.196,running,4
s220,dahei_s1,10.6.5.172,data/xy/shengbei_s220_9220,shengbei_lianyun_s220,10.6.5.59,dahei,3306,32014,42.62.56.196,running,5
